date,state,county,city,college,cases,countyCovidProp,plan,enrollment2018,type,adjCases
8-Oct,Illinois,Kane,Aurora,Aurora University,1,0.025961537,Primarily online,6005,"Private nonprofit, 4-year",0.000166528
8-Oct,Illinois,DuPage,Lisle,Benedictine University,7,0.020134984,Primarily in person,4940,"Private nonprofit, 4-year",0.001417004
8-Oct,Illinois,Peoria,Peoria,Bradley University,338,0.021006926,Primarily online,5882,"Private nonprofit, 4-year",0.057463448
8-Oct,Illinois,Cook,Chicago,Chicago State University,17,0.029202562,Primarily online,2964,"Public, 4-year",0.005735493
8-Oct,Illinois,Cook,Chicago,Columbia College Chicago,3,0.029202562,Primarily online,6825,"Private nonprofit, 4-year",0.00043956
8-Oct,Illinois,Cook,River Forest,Concordia University Chicago,2,0.029202562,Fully online,6005,"Private nonprofit, 4-year",0.000333056
8-Oct,Illinois,Cook,Chicago,DePaul University,10,0.029202562,Fully online,22437,"Private nonprofit, 4-year",0.000445692
8-Oct,Illinois,Cook,River Forest,Dominican University,28,0.029202562,Hybrid,2990,"Private nonprofit, 4-year",0.009364548
8-Oct,Illinois,Coles,Charleston,Eastern Illinois University,305,0.031429644,Primarily in person,7526,"Public, 4-year",0.040526176
8-Oct,Illinois,Woodford,Eureka,Eureka College,23,0.012350815,Primarily in person,567,"Private nonprofit, 4-year",0.040564374
8-Oct,Illinois,Cook,University Park,Governors State University,14,0.029202562,Hybrid,4857,"Public, 4-year",0.002882438
8-Oct,Illinois,Bond,Greenville,Greenville University,20,0.022403507,Primarily in person,1132,"Private nonprofit, 4-year",0.017667845
8-Oct,Illinois,Morgan,Jacksonville,Illinois College,6,0.021510488,Other,983,"Private nonprofit, 4-year",0.006103764
8-Oct,Illinois,Cook,Chicago,Illinois Institute of Technology,55,0.029202562,Hybrid,6753,"Private nonprofit, 4-year",0.008144528
8-Oct,Illinois,McLean,Normal,Illinois State University,1384,0.020336177,Primarily online,20635,"Public, 4-year",0.067070511
8-Oct,Illinois,McLean,Bloomington,Illinois Wesleyan University,122,0.020336177,Primarily online,1693,"Private nonprofit, 4-year",0.072061429
8-Oct,Illinois,Clinton,Centralia,Kaskaskia College,39,0.035621106,Primarily online,3164,"Public, 2-year",0.012326169
8-Oct,Illinois,Knox,Galesburg,Knox College,22,0.016016419,Hybrid,1333,"Private nonprofit, 4-year",0.016504126
8-Oct,Illinois,Lake,Lake Forest,Lake Forest College,6,0.025562247,Fully online,1512,"Private nonprofit, 4-year",0.003968254
8-Oct,Illinois,Coles,Mattoon,Lake Land College,37,0.031429644,Hybrid,4583,"Public, 2-year",0.008073314
8-Oct,Illinois,Will,Romeoville,Lewis University,39,0.021679554,Primarily online,6440,"Private nonprofit, 4-year",0.006055901
8-Oct,Illinois,Cook,Chicago,Loyola University Chicago,15,0.029202562,Fully online,17007,"Private nonprofit, 4-year",0.00088199
8-Oct,Illinois,St. Clair,Lebanon,McKendree University,96,0.030074783,Primarily in person,2494,"Private nonprofit, 4-year",0.038492382
8-Oct,Illinois,Macon,Decatur,Millikin University,45,0.01740234,Hybrid,2094,"Private nonprofit, 4-year",0.021489971
8-Oct,Illinois,Warren,Monmouth,Monmouth College,26,0.02190691,Primarily online,914,"Private nonprofit, 4-year",0.028446389
8-Oct,Illinois,Cook,Chicago,Moody Bible Institute,10,0.029202562,Primarily online,3086,"Private nonprofit, 4-year",0.003240441
8-Oct,Illinois,DuPage,Naperville,North Central College,33,0.020134984,Primarily in person,2928,"Private nonprofit, 4-year",0.011270492
8-Oct,Illinois,Cook,Chicago,North Park University,25,0.029202562,Primarily in person,2900,"Private nonprofit, 4-year",0.00862069
8-Oct,Illinois,Cook,Chicago,Northeastern Illinois University,56,0.029202562,Primarily online,8103,"Public, 4-year",0.006911021
8-Oct,Illinois,Cook,Evanston,Northwestern University,146,0.029202562,Primarily online,22127,"Private nonprofit, 4-year",0.006598274
8-Oct,Illinois,Kankakee,Bourbonnais,Olivet Nazarene University,23,0.02650598,Primarily in person,4655,"Private nonprofit, 4-year",0.004940924
8-Oct,Illinois,Champaign,Champaign,Parkland College,55,0.024717558,Primarily online,7074,"Public, 2-year",0.007774951
8-Oct,Illinois,Adams,Quincy,Quincy University,89,0.019836479,Primarily in person,1086,"Private nonprofit, 4-year",0.081952118
8-Oct,Illinois,Winnebago,Rockford,Rockford University,29,0.025412992,Primarily online,1203,"Private nonprofit, 4-year",0.024106401
8-Oct,Illinois,Cook,Chicago,Saint Xavier University,34,0.029202562,Primarily in person,3667,"Private nonprofit, 4-year",0.009271884
8-Oct,Illinois,Cook,Chicago,School of the Art Institute of Chicago,8,0.029202562,Fully online,3639,"Private nonprofit, 4-year",0.002198406
8-Oct,Illinois,Saline,Harrisburg,Southeastern Illinois College,9,0.017751479,Primarily online,1650,"Public, 2-year",0.005454545
8-Oct,Illinois,Cook,Chicago,University of Chicago,79,0.029202562,Hybrid,17002,"Private nonprofit, 4-year",0.004646512
8-Oct,Illinois,Cook,Chicago,"University of Illinois, Chicago",171,0.029202562,Primarily online,31683,"Public, 4-year",0.005397216
8-Oct,Illinois,McDonough,Macomb,Western Illinois University,145,0.017417964,Primarily in person,8502,"Public, 4-year",0.017054811
8-Oct,Indiana,Delaware,Muncie,Ball State University,1027,0.019792351,Primarily in person,21884,"Public, 4-year",0.046929263
8-Oct,Indiana,Marion,Indianapolis,Butler University,151,0.023566685,Primarily online,5495,"Private nonprofit, 4-year",0.027479527
8-Oct,Indiana,Putnam,Greencastle,DePauw University,22,0.017005535,Primarily in person,2156,"Private nonprofit, 4-year",0.010204082
8-Oct,Indiana,Elkhart,Goshen,Goshen College,12,0.03523294,Primarily in person,927,"Private nonprofit, 4-year",0.012944984
8-Oct,Indiana,Vigo,Terre Haute,Indiana State University,99,0.019226817,Primarily in person,13044,"Public, 4-year",0.007589696
8-Oct,Indiana,Wayne,Richmond,Indiana University East,15,0.018714711,Hybrid,3722,"Public, 4-year",0.004030091
8-Oct,Indiana,Lake,Gary,Indiana University Northwest,3,0.023493645,Primarily online,3959,"Public, 4-year",0.000757767
8-Oct,Indiana,Floyd,New Albany,Indiana University Southeast,7,0.019306691,Hybrid,5144,"Public, 4-year",0.001360809
8-Oct,Indiana,Wabash,North Manchester,Manchester University,12,0.009614144,Primarily in person,1525,"Private nonprofit, 4-year",0.007868852
8-Oct,Indiana,Allen,Fort Wayne,Purdue University Fort Wayne,62,0.0179489,Hybrid,10139,"Public, 4-year",0.006115001
8-Oct,Indiana,Lake,Hammond,Purdue University Northwest,58,0.023493645,Hybrid,10473,"Public, 4-year",0.00553805
8-Oct,Indiana,Vigo,Terre Haute,Rose-Hulman Institute of Technology,40,0.019226817,Hybrid,2142,"Private nonprofit, 4-year",0.018674136
8-Oct,Indiana,Grant,Upland,Taylor University,3,0.021514695,Hybrid,2195,"Private nonprofit, 4-year",0.001366743
8-Oct,Indiana,Steuben,Angola,Trine University,81,0.012834596,Primarily in person,4320,"Private nonprofit, 4-year",0.01875
